orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
200193,2024-08-05,2024-08-11,Shipped,10918,7468.39,Invoice
200194,2024-03-11,2024-03-16,Delivered,10883,5325.76,Credit Card
200195,2024-04-07,2024-04-10,Delivered,10849,920.47,COD
200196,2024-10-19,2024-10-29,Cancelled,10948,7416.45,Credit Card
200197,2024-08-12,2024-08-15,In Process,10243,1246.3,Invoice
200198,2024-07-20,2024-07-25,Shipped,10262,744.39,Invoice
200199,2024-08-10,2024-08-18,In Process,10178,6804.84,COD
200200,2024-08-18,2024-08-22,In Process,10308,1549.87,COD
200201,2024-05-09,2024-05-17,In Process,10268,157.53,COD
200202,2024-06-09,2024-06-18,Disputed,10798,2618.85,COD
200203,2024-04-11,2024-04-19,In Process,10777,2412.96,COD
200204,2024-08-14,2024-08-19,Shipped,10381,1046.41,Bank Transfer
200205,2024-05-25,2024-06-02,Disputed,10515,1445.07,Invoice
200206,2024-04-16,2024-04-22,Delivered,10416,798.88,COD
200207,2024-04-04,2024-04-12,Shipped,10011,4963.2,Invoice
200208,2024-01-14,2024-01-19,Cancelled,10703,2320.19,Invoice
200209,2024-05-24,2024-05-26,Cancelled,10275,6077.14,Credit Card
200210,2024-01-17,2024-01-19,In Process,10253,2338.55,Invoice
200211,2024-10-20,2024-10-22,Disputed,10865,6018.6,Bank Transfer
200212,2024-01-03,2024-01-10,Cancelled,10408,3554.93,Credit Card
200213,2024-10-20,2024-10-30,Shipped,10779,2363.16,Bank Transfer
200214,2024-07-29,2024-08-01,Cancelled,10531,3068.43,COD
200215,2024-03-12,2024-03-19,Shipped,10457,6100.99,Invoice
200216,2024-02-10,2024-02-13,In Process,10796,1341.31,Bank Transfer
200217,2024-06-08,2024-06-10,Cancelled,10802,3802.27,Invoice
200218,2024-09-10,2024-09-16,Disputed,10402,4656.71,COD
200219,2024-07-17,2024-07-19,Disputed,10475,5359.93,Bank Transfer
200220,2024-06-22,2024-06-25,Shipped,10257,5716.66,COD
200221,2024-03-17,2024-03-27,Cancelled,10603,3495.78,Invoice
200222,2024-04-25,2024-05-03,Disputed,10356,897.25,Bank Transfer
200223,2024-10-25,2024-11-03,In Process,10075,2485.34,Bank Transfer
200224,2024-03-28,2024-04-06,In Process,10794,5660.48,Bank Transfer
200225,2024-05-23,2024-06-02,Cancelled,10885,4126.75,
200226,2024-10-27,2024-11-05,In Process,10114,559.46,Bank Transfer
200227,2024-06-08,2024-06-12,Disputed,10823,5387.33,Credit Card
200228,2024-04-25,2024-04-30,In Process,10778,2529.38,Invoice
200229,2024-02-08,2024-02-18,Cancelled,10180,1646.21,Credit Card
200230,2024-03-29,2024-04-08,Delivered,10494,960.13,
200231,2024-06-08,2024-06-13,Delivered,10092,4935.06,Bank Transfer
200232,2024-07-07,2024-07-15,Delivered,10018,5674.08,Invoice
200233,2024-06-17,2024-06-21,In Process,10292,54.96,Credit Card
200234,2024-04-10,2024-04-18,In Process,10320,7105.02,Invoice
200235,2024-08-06,2024-08-09,Shipped,10068,7063.48,Bank Transfer
200236,2024-09-16,2024-09-19,Cancelled,10887,4063.41,Invoice
200237,2024-10-22,2024-10-26,Shipped,10457,7266.81,COD
200238,2024-02-05,2024-02-15,Disputed,10617,6064.12,Credit Card
200239,2024-05-07,2024-05-09,In Process,10767,5754.97,Bank Transfer
200240,2024-09-28,2024-09-30,In Process,10112,3807.47,Credit Card
200241,2024-02-16,2024-02-25,Delivered,10747,3820.8,Credit Card
200242,2024-04-19,2024-04-25,Delivered,10630,309.67,Credit Card
200243,2024-03-13,2024-03-21,Delivered,10323,5498.69,Bank Transfer
200244,2024-09-24,2024-09-27,Cancelled,10174,4204.12,COD
200245,2024-08-08,2024-08-14,Shipped,10167,3055.15,COD
200246,2024-02-10,2024-02-18,Shipped,10725,4019.67,Credit Card
200247,2024-08-22,2024-08-29,Delivered,10888,5250.3,Credit Card
200248,2024-09-21,2024-09-24,Delivered,10415,5074.65,Credit Card
200249,2024-05-11,2024-05-13,Shipped,10713,5170.43,Credit Card
200250,2024-05-12,2024-05-22,Delivered,10522,5625.15,COD
200251,2024-10-24,2024-10-26,Delivered,10556,1169.4,Bank Transfer
200252,2024-10-02,2024-10-06,Cancelled,10309,2904.89,Bank Transfer
200253,2024-06-23,2024-06-28,Disputed,10325,5137.86,COD
200254,2024-03-28,2024-03-31,Cancelled,10972,3940.08,Bank Transfer
200255,2024-01-06,2024-01-08,In Process,10885,375.21,COD
200256,2024-01-21,2024-01-24,Shipped,10904,3855.36,Bank Transfer
200257,2024-02-16,2024-02-21,Cancelled,10562,2426.33,Credit Card
200258,2024-05-20,2024-05-29,In Process,10145,2705.53,COD
200259,2024-05-17,2024-05-22,Cancelled,10400,5136.3,COD
200260,2024-06-05,2024-06-11,Delivered,10310,3285.6,Bank Transfer
200261,2024-06-08,2024-06-15,Shipped,10727,1324.26,Credit Card
200262,2024-02-01,2024-02-10,Cancelled,10914,121.42,Invoice
200263,2024-09-14,2024-09-20,Delivered,10225,1501.0,COD
200264,2024-10-27,2024-11-05,Shipped,10667,5370.3,Invoice
200265,2024-02-28,2024-03-07,Cancelled,10123,4472.85,Bank Transfer
200266,2024-10-07,2024-10-12,In Process,10758,7316.71,Bank Transfer
200267,2024-07-22,2024-07-28,Disputed,10356,2875.38,Credit Card
200268,2024-06-01,2024-06-10,Shipped,10905,3516.67,COD
200269,2024-03-06,2024-03-14,Cancelled,10409,1100.21,COD
200270,2024-08-05,2024-08-14,Disputed,10016,5174.01,Credit Card
200271,2024-04-19,2024-04-26,Shipped,10558,2887.31,Invoice
200272,2024-01-18,2024-01-27,Shipped,10285,3647.42,COD
200273,2024-07-17,2024-07-25,Disputed,10493,2645.53,Bank Transfer
200274,2024-10-17,2024-10-22,Disputed,10419,4875.8,Credit Card
200275,2024-03-07,2024-03-17,Shipped,10177,70.51,Credit Card
200276,2024-09-11,2024-09-15,Disputed,10631,3209.16,COD
200277,2024-06-11,2024-06-14,Disputed,10403,5950.34,Credit Card
200278,2024-05-03,2024-05-05,In Process,10712,5536.62,COD
200279,2024-05-21,2024-05-30,In Process,10819,5794.91,Invoice
200280,2024-03-30,2024-04-04,Delivered,10751,6265.34,Invoice
200281,2024-01-20,2024-01-22,In Process,10393,2757.49,COD
200282,2024-08-21,2024-08-31,Shipped,10503,4496.24,COD
200283,2024-01-05,2024-01-10,In Process,10037,3575.39,COD
200284,2024-02-22,2024-02-26,Shipped,10729,3495.52,COD
200285,2024-01-11,2024-01-15,Shipped,10578,4062.61,Bank Transfer
200286,2024-01-17,2024-01-21,Shipped,10878,3120.03,Credit Card
200287,2024-09-22,2024-09-30,Shipped,10214,5499.36,Invoice
200288,2024-07-10,2024-07-20,Delivered,10847,2851.28,Credit Card
200289,2024-05-11,2024-05-16,Cancelled,10414,6675.03,Credit Card
200290,2024-06-02,2024-06-08,Cancelled,10265,3763.15,COD
200291,2024-06-24,2024-07-04,Cancelled,10951,5635.1,Credit Card
200292,2024-08-26,2024-08-28,In Process,10882,5638.03,COD
200293,2024-05-21,2024-05-31,Cancelled,10234,6411.12,Bank Transfer
200294,2024-07-26,2024-08-03,In Process,10381,5722.73,COD
200295,2024-09-25,2024-09-30,Cancelled,10734,3648.4,Invoice
200296,2024-06-02,2024-06-06,Cancelled,10091,3460.03,Invoice
200297,2024-05-22,2024-06-01,Disputed,10572,634.57,Bank Transfer
200298,2024-01-01,2024-01-04,Delivered,10015,4471.53,Invoice
200299,2024-04-26,2024-05-01,Cancelled,10510,2095.24,Invoice
200300,2024-05-19,2024-05-25,Delivered,10364,1709.62,Credit Card
200301,2024-01-17,2024-01-25,In Process,10725,6883.3,Invoice
200302,2024-01-28,2024-02-07,Delivered,10597,5840.75,Bank Transfer
200303,2024-01-08,2024-01-10,Delivered,10113,6682.66,Bank Transfer
200304,2024-07-27,2024-08-04,Shipped,10608,2962.32,Credit Card
200305,2024-04-26,2024-05-03,Cancelled,10821,714.41,COD
200306,2024-06-03,2024-06-13,Cancelled,10740,687.45,Bank Transfer
200307,2024-04-19,2024-04-23,Cancelled,10846,6909.97,Bank Transfer
200308,2024-03-02,2024-03-06,Shipped,10898,5839.89,Invoice
200309,2024-10-07,2024-10-13,Shipped,10396,6646.04,Bank Transfer
200310,2024-06-03,2024-06-05,In Process,10181,7018.93,COD
200311,2024-04-09,2024-04-14,Delivered,10437,6935.01,Bank Transfer
200312,2024-09-20,2024-09-23,Disputed,10411,2126.17,Bank Transfer
200313,2024-01-04,2024-01-07,Cancelled,10540,3760.28,Bank Transfer
200314,2024-02-22,2024-03-02,In Process,10496,7199.32,Credit Card
200315,2024-02-03,2024-02-09,Delivered,10869,6332.23,Invoice
200316,2024-10-07,2024-10-14,Cancelled,10337,6114.36,Credit Card
200317,2024-05-26,2024-06-03,Delivered,10122,7113.93,Bank Transfer
200318,2024-06-09,2024-06-13,Cancelled,10338,2210.59,Bank Transfer
200319,2024-02-04,2024-02-13,Delivered,10160,1097.27,COD
200320,2024-07-30,2024-08-08,Delivered,10019,391.79,Invoice
200321,2024-01-23,2024-01-29,Shipped,10551,6558.62,COD
200322,2024-03-03,2024-03-12,Cancelled,10212,4269.39,COD
200323,2024-10-27,2024-10-30,Disputed,10781,2488.82,Bank Transfer
200324,2024-10-03,2024-10-06,Delivered,10625,4374.02,Credit Card
200325,2024-01-06,2024-01-08,Disputed,10010,1363.59,Invoice
200326,2024-08-20,2024-08-26,In Process,10985,1567.44,Bank Transfer
200327,2024-03-17,2024-03-21,Cancelled,10146,6682.22,COD
200328,2024-10-27,2024-11-05,Delivered,10979,4506.73,Bank Transfer
200329,2024-05-31,2024-06-03,In Process,10203,2124.42,Credit Card
200330,2024-10-14,2024-10-20,Disputed,10858,1427.78,Invoice
200331,2024-10-02,2024-10-09,Disputed,10175,2578.11,COD
200332,2024-02-01,2024-02-08,In Process,10244,3870.98,Invoice
200333,2024-10-09,2024-10-17,Delivered,10737,305.11,Credit Card
200334,2024-01-01,2024-01-11,Delivered,10804,329.61,Credit Card
200335,2024-05-18,2024-05-21,Delivered,10127,2056.78,Credit Card
200336,2024-04-14,2024-04-18,Delivered,10244,1183.52,COD
200337,2024-07-28,2024-08-03,Delivered,10268,2410.87,Invoice
200338,2024-01-22,2024-02-01,Cancelled,10998,5079.03,Bank Transfer
200339,2024-03-13,2024-03-21,Cancelled,10567,1731.49,Credit Card
200340,2024-09-06,2024-09-10,Disputed,10799,6249.45,Invoice
200341,2024-05-18,2024-05-24,Shipped,10259,1111.95,COD
200342,2024-05-08,2024-05-15,Cancelled,10739,2403.18,COD
200343,2024-01-28,2024-02-02,In Process,10717,2259.25,Credit Card
200344,2024-07-08,2024-07-14,Disputed,10374,4249.14,COD
200345,2024-08-02,2024-08-05,Shipped,10578,4106.54,COD
200346,2024-04-03,2024-04-10,Disputed,10930,2379.46,COD
200347,2024-01-08,2024-01-15,Delivered,10797,3538.95,COD
200348,2024-06-03,2024-06-05,Cancelled,10581,6459.2,Bank Transfer
200349,2024-08-06,2024-08-11,In Process,10315,2520.74,COD
200350,2024-09-21,2024-09-24,Disputed,10907,6939.82,COD
200351,2024-04-23,2024-04-29,Delivered,10342,683.04,Credit Card
200352,2024-10-09,2024-10-16,In Process,10919,4537.82,COD
200353,2024-03-12,2024-03-19,Shipped,10756,6272.79,Bank Transfer
200354,2024-05-14,2024-05-18,Delivered,10014,748.87,Invoice
200355,2024-05-28,2024-05-31,Shipped,10855,421.8,Credit Card
200356,2024-03-13,2024-03-17,Disputed,10258,3138.37,Credit Card
200357,2024-01-14,2024-01-20,Delivered,10649,3316.33,Invoice
200358,2024-10-09,2024-10-11,Cancelled,10755,4391.49,Bank Transfer
200359,2024-05-11,2024-05-13,Cancelled,10790,4529.35,COD
200360,2024-05-03,2024-05-06,Disputed,10739,5405.45,Invoice
200361,2024-04-26,2024-04-28,Cancelled,10661,5046.7,Credit Card
200362,2024-03-07,2024-03-13,Cancelled,10654,2680.29,Bank Transfer
200363,2024-01-04,2024-01-11,Cancelled,10721,949.88,Credit Card
200364,2024-05-21,2024-05-27,Disputed,10724,1251.23,COD
200365,2024-02-04,2024-02-11,Disputed,10484,5108.32,Bank Transfer
200366,2024-06-14,2024-06-22,In Process,10507,2355.59,COD
200367,2024-08-07,2024-08-16,Disputed,10046,268.85,Bank Transfer
200368,2024-04-18,2024-04-27,In Process,10269,296.12,COD
200369,2024-08-01,2024-08-09,Cancelled,10541,1949.23,Bank Transfer
200370,2024-10-03,2024-10-05,Delivered,10492,2323.8,COD
200371,2024-08-14,2024-08-23,Disputed,10874,2838.5,Invoice
200372,2024-05-04,2024-05-11,Shipped,10624,1893.14,Bank Transfer
200373,2024-05-12,2024-05-15,Delivered,10147,5518.61,COD
200374,2024-10-08,2024-10-14,Cancelled,10778,1669.17,
200375,2024-10-08,2024-10-13,Disputed,10944,5735.47,COD
200376,2024-01-26,2024-01-31,In Process,10144,6029.1,Invoice
200377,2024-06-22,2024-06-29,Disputed,10561,1649.61,Credit Card
200378,2024-02-29,2024-03-05,Shipped,10884,446.39,Bank Transfer
200379,2024-09-03,2024-09-06,Shipped,10412,340.66,Credit Card
200380,2024-05-11,2024-05-21,Disputed,10125,2967.26,Bank Transfer
200381,2024-01-31,2024-02-07,Disputed,10512,3338.14,Bank Transfer
200382,2024-08-09,2024-08-12,Cancelled,10173,4146.26,Bank Transfer
200383,2024-03-25,2024-04-02,Cancelled,10983,6247.4,COD
200384,2024-10-03,2024-10-12,Disputed,10442,647.41,Bank Transfer
200385,2024-07-26,2024-08-03,Cancelled,10471,5820.2,Bank Transfer
200386,2024-07-24,2024-07-29,Shipped,10613,2548.25,Invoice
200387,2024-06-19,2024-06-28,In Process,10125,4145.86,Credit Card
200388,2024-07-09,2024-07-12,Cancelled,10535,357.91,COD
200389,2024-08-16,2024-08-24,Disputed,10090,3028.48,Bank Transfer
200390,2024-09-30,2024-10-06,In Process,10294,2938.97,Credit Card
200391,2024-07-24,2024-08-02,Disputed,10599,5134.45,Credit Card
200392,2024-01-10,2024-01-14,Shipped,10383,3469.46,Credit Card
200393,2024-08-30,2024-09-07,Shipped,10679,6462.96,Invoice
