orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
200030,2024-05-11,2024-05-20,Shipped,10908,2936.57,Credit Card
200031,2024-07-31,2024-08-02,In Process,10303,2692.66,COD
200032,2024-09-18,2024-09-25,In Process,10706,3605.98,COD
200033,2024-01-12,2024-01-14,Disputed,10006,6769.82,Bank Transfer
200034,2024-06-21,2024-06-23,Cancelled,10742,6939.95,Credit Card
200035,2024-04-09,2024-04-19,Cancelled,10896,6076.04,COD
200036,2024-03-27,2024-03-30,Delivered,10841,3199.58,Bank Transfer
200037,2024-08-16,2024-08-24,Delivered,10130,6472.46,Invoice
200038,2024-09-27,2024-10-04,Disputed,10258,4394.59,Credit Card
200039,2024-04-10,2024-04-17,Disputed,10696,2838.15,COD
200040,2024-02-24,2024-02-28,In Process,10793,2816.1,COD
200041,2024-02-23,2024-03-02,Cancelled,10684,722.15,Invoice
200042,2024-02-09,2024-02-17,Delivered,10144,4419.73,COD
200043,2024-09-02,2024-09-11,Cancelled,10713,7024.04,Invoice
200044,2024-08-22,2024-09-01,Cancelled,10464,5326.2,Invoice
200045,2024-04-25,2024-04-28,In Process,10695,2378.58,COD
200046,2024-09-25,2024-10-03,Disputed,10813,4435.31,Bank Transfer
200047,2024-07-15,2024-07-19,Shipped,10841,2529.25,Invoice
200048,2024-08-02,2024-08-04,In Process,10402,603.41,
200049,2024-08-22,2024-08-30,Cancelled,10608,6860.99,COD
200050,2024-05-07,2024-05-14,Cancelled,10649,864.85,Invoice
200051,2024-05-17,2024-05-25,Cancelled,10603,618.0,Invoice
200052,2024-03-29,2024-04-05,Cancelled,10092,7001.88,Credit Card
200053,2024-07-30,2024-08-09,In Process,10532,7328.52,COD
200054,2024-06-25,2024-07-01,In Process,10395,4179.48,Bank Transfer
200055,2024-10-21,2024-10-23,In Process,10748,2806.46,Invoice
200056,2024-02-24,2024-02-28,In Process,10912,2574.34,Invoice
200057,2024-07-04,2024-07-14,Shipped,10201,6764.74,Credit Card
200058,2024-08-26,2024-08-31,Shipped,10634,5172.44,COD
200059,2024-09-18,2024-09-28,Cancelled,10594,4548.22,Invoice
200060,2024-03-12,2024-03-14,Disputed,10013,3564.55,COD
200061,2024-07-20,2024-07-22,Shipped,10272,6379.68,Credit Card
200062,2024-09-27,2024-10-02,Disputed,10435,6543.49,Credit Card
200063,2024-04-25,2024-05-02,In Process,10784,685.26,Credit Card
200064,2024-05-20,2024-05-28,In Process,10949,261.01,Invoice
200065,2024-01-24,2024-01-27,Cancelled,10879,3424.12,Credit Card
200066,2024-03-18,2024-03-20,Delivered,10079,4753.45,COD
200067,2024-05-24,2024-06-03,Disputed,10045,4216.38,Credit Card
200068,2024-01-08,2024-01-12,In Process,10863,4358.83,Invoice
200069,2024-03-05,2024-03-15,Disputed,10542,5824.4,Bank Transfer
200070,2024-10-15,2024-10-25,Disputed,10888,2337.28,Invoice
200071,2024-02-17,2024-02-24,Shipped,10088,5170.36,Invoice
200072,2024-09-01,2024-09-03,Delivered,10066,1323.43,Credit Card
200073,2024-10-26,2024-10-29,Disputed,10444,2727.06,Credit Card
200074,2024-05-07,2024-05-11,Cancelled,10128,5831.05,Credit Card
200075,2024-06-06,2024-06-08,Delivered,10452,6002.83,Bank Transfer
200076,2024-01-01,2024-01-07,Cancelled,10216,1110.5,COD
200077,2024-03-24,2024-03-31,In Process,10853,3571.01,Invoice
200078,2024-06-24,2024-07-04,Disputed,10291,2799.82,Credit Card
200079,2024-09-23,2024-10-03,Shipped,10548,3881.66,COD
200080,2024-02-13,2024-02-23,Delivered,10294,1549.11,COD
200081,2024-05-18,2024-05-22,Delivered,10175,4772.67,COD
200082,2024-06-29,2024-07-02,In Process,10180,6183.9,COD
200083,2024-08-19,2024-08-24,Delivered,10964,5969.09,COD
200084,2024-04-29,2024-05-01,Disputed,10866,2465.1,Bank Transfer
200085,2024-02-05,2024-02-08,Cancelled,10697,160.39,COD
200086,2024-04-07,2024-04-09,Shipped,10433,2953.81,COD
200087,2024-04-11,2024-04-14,Disputed,10221,1572.79,Credit Card
200088,2024-09-10,2024-09-15,In Process,10226,3714.25,Bank Transfer
200089,2024-01-24,2024-01-28,Disputed,10719,1592.77,COD
200090,2024-02-02,2024-02-10,Cancelled,10293,7465.88,Credit Card
200091,2024-06-05,2024-06-14,In Process,10885,3896.39,Credit Card
200092,2024-03-11,2024-03-17,Shipped,10413,4889.1,Credit Card
200093,2024-06-14,2024-06-21,Shipped,10903,56.26,Credit Card
200094,2024-01-10,2024-01-13,Cancelled,10047,3510.66,COD
200095,2024-04-27,2024-04-29,Cancelled,10910,377.35,Invoice
200096,2024-09-08,2024-09-18,In Process,10157,2329.89,Credit Card
200097,2024-07-24,2024-07-29,Shipped,10498,2378.65,Invoice
200098,2024-07-11,2024-07-16,In Process,10752,4604.47,COD
200099,2024-08-09,2024-08-16,In Process,10946,6011.77,Credit Card
200100,2024-04-24,2024-05-04,Disputed,10875,595.9,Bank Transfer
200101,2024-06-19,2024-06-21,Delivered,10694,266.46,Invoice
200102,2024-05-29,2024-06-02,Disputed,10086,2851.38,Bank Transfer
200103,2024-04-28,2024-05-01,Delivered,10531,129.19,COD
200104,2024-05-13,2024-05-20,Delivered,10705,3738.75,Credit Card
200105,2024-08-16,2024-08-19,Delivered,10108,3544.96,Bank Transfer
200106,2024-08-23,2024-08-31,Disputed,10304,392.55,COD
200107,2024-10-12,2024-10-14,Delivered,10787,7104.25,Credit Card
200108,2024-02-01,2024-02-04,Delivered,10245,5946.13,Invoice
200109,2024-04-24,2024-05-04,Shipped,10941,222.45,Bank Transfer
200110,2024-01-31,2024-02-02,Delivered,10479,4325.8,Invoice
200111,2024-06-03,2024-06-09,Cancelled,10207,1087.46,COD
200112,2024-03-28,2024-04-06,Delivered,10639,4715.76,COD
200113,2024-02-24,2024-02-28,Delivered,10424,4358.02,COD
200114,2024-04-05,2024-04-13,Disputed,10746,902.58,Invoice
200115,2024-10-07,2024-10-14,Delivered,10286,7210.55,Bank Transfer
200116,2024-02-14,2024-02-19,Delivered,10615,5526.77,COD
200117,2024-05-31,2024-06-02,In Process,10189,6764.98,Invoice
200118,2024-07-31,2024-08-08,Shipped,10448,533.41,Credit Card
200119,2024-01-02,2024-01-11,Disputed,10312,4474.44,Bank Transfer
200120,2024-02-02,2024-02-11,In Process,10129,5743.1,Bank Transfer
200121,2024-09-26,2024-09-28,Cancelled,10052,262.3,Invoice
200122,2024-06-28,2024-07-07,Disputed,10472,5398.7,Bank Transfer
200123,2024-06-30,2024-07-08,Cancelled,10550,812.37,Bank Transfer
200124,2024-03-29,2024-04-06,Cancelled,10426,1280.08,Credit Card
200125,2024-06-04,2024-06-10,Shipped,10613,133.3,Credit Card
200126,2024-03-07,2024-03-11,In Process,10934,574.75,COD
200127,2024-07-10,2024-07-18,Delivered,10965,4792.71,Bank Transfer
200128,2024-06-23,2024-07-02,Disputed,10471,5803.52,Credit Card
200129,2024-07-15,2024-07-22,Shipped,10823,5162.0,COD
200130,2024-02-01,2024-02-03,Shipped,10011,7193.0,Bank Transfer
200131,2024-10-15,2024-10-24,In Process,10794,3472.59,COD
200132,2024-01-31,2024-02-02,Disputed,10655,4845.45,Credit Card
200133,2024-03-01,2024-03-06,Disputed,10823,5890.32,Invoice
200134,2024-05-27,2024-06-02,Delivered,10219,479.02,Invoice
200135,2024-03-22,2024-03-30,Cancelled,10472,6086.5,Bank Transfer
200136,2024-10-05,2024-10-11,Shipped,10846,4494.86,Credit Card
200137,2024-08-05,2024-08-10,Delivered,10245,537.84,Credit Card
200138,2024-06-04,2024-06-08,Shipped,10720,5017.12,Credit Card
200139,2024-03-09,2024-03-18,In Process,10642,3143.11,COD
200140,2024-07-03,2024-07-08,In Process,10675,6312.03,COD
200141,2024-03-02,2024-03-10,Shipped,10457,6163.72,Credit Card
200142,2024-08-19,2024-08-28,In Process,10256,7188.79,Bank Transfer
200143,2024-05-31,2024-06-09,Delivered,10709,4209.31,Invoice
200144,2024-09-01,2024-09-07,Shipped,10967,6571.48,Credit Card
200145,2024-02-06,2024-02-08,In Process,10799,7353.86,Bank Transfer
200146,2024-04-17,2024-04-25,In Process,10213,3826.7,Credit Card
200147,2024-03-19,2024-03-24,In Process,10777,5435.29,Credit Card
200148,2024-03-04,2024-03-06,Shipped,10737,4123.45,COD
200149,2024-03-18,2024-03-28,In Process,10817,3705.69,Credit Card
200150,2024-07-14,2024-07-16,Delivered,10056,6694.31,Invoice
200151,2024-01-18,2024-01-21,In Process,10072,1792.35,Credit Card
200152,2024-08-12,2024-08-20,Disputed,10535,780.41,Credit Card
200153,2024-03-19,2024-03-27,Shipped,10849,1295.79,Bank Transfer
200154,2024-02-23,2024-02-27,Delivered,10664,590.16,Credit Card
200155,2024-06-05,2024-06-10,In Process,10619,232.52,COD
200156,2024-09-12,2024-09-15,Cancelled,10864,4153.53,Credit Card
200157,2024-08-17,2024-08-22,Shipped,10533,5536.19,COD
200158,2024-05-23,2024-05-30,In Process,10857,2800.67,COD
200159,2024-05-10,2024-05-13,Cancelled,10365,2015.29,
200160,2024-08-16,2024-08-21,Delivered,10950,7214.93,Invoice
200161,2024-03-19,2024-03-25,In Process,10957,1797.31,COD
200162,2024-01-07,2024-01-14,Disputed,10125,3927.74,Credit Card
200163,2024-10-15,2024-10-17,Disputed,10683,3468.99,COD
200164,2024-09-12,2024-09-22,Shipped,10280,6036.5,Bank Transfer
200165,2024-06-21,2024-06-27,Cancelled,10974,5629.41,Credit Card
200166,2024-06-29,2024-07-03,Cancelled,10650,487.29,COD
200167,2024-06-23,2024-07-02,Disputed,10738,5899.73,Bank Transfer
200168,2024-07-12,2024-07-21,Disputed,10165,7399.37,Credit Card
200169,2024-07-23,2024-07-30,Shipped,10423,2773.35,COD
200170,2024-07-18,2024-07-21,Cancelled,10204,6106.08,Credit Card
200171,2024-06-27,2024-06-29,Shipped,10333,3655.68,Invoice
200172,2024-01-02,2024-01-07,Delivered,10263,1310.48,Bank Transfer
200173,2024-03-01,2024-03-08,Cancelled,10866,5825.33,COD
200174,2024-05-25,2024-06-04,Delivered,10181,2857.71,COD
200175,2024-03-18,2024-03-28,Disputed,10032,5566.96,
200176,2024-04-28,2024-05-07,In Process,10701,2790.79,Invoice
200177,2024-06-30,2024-07-07,Disputed,10688,4198.45,Bank Transfer
200178,2024-07-29,2024-08-06,Delivered,10033,376.4,COD
200179,2024-01-05,2024-01-12,Cancelled,10726,7161.2,Bank Transfer
200180,2024-08-14,2024-08-17,Cancelled,10935,6306.22,COD
200181,2024-06-08,2024-06-10,Shipped,10054,3385.72,Invoice
200182,2024-04-28,2024-05-04,In Process,10955,2919.08,Invoice
200183,2024-03-15,2024-03-23,In Process,10937,2033.93,Invoice
200184,2024-04-11,2024-04-13,Cancelled,10475,4731.9,Credit Card
200185,2024-07-03,2024-07-10,Cancelled,10704,2106.6,Credit Card
200186,2024-02-29,2024-03-04,Cancelled,10362,717.12,Credit Card
200187,2024-07-05,2024-07-08,Cancelled,10460,4289.24,Bank Transfer
200188,2024-02-04,2024-02-12,Shipped,10019,4641.77,Bank Transfer
200189,2024-06-16,2024-06-20,Shipped,10899,4404.94,Credit Card
200190,2024-03-29,2024-04-01,Cancelled,10612,4832.59,Invoice
200191,2024-05-16,2024-05-25,In Process,10743,4173.44,Credit Card
200192,2024-08-24,2024-08-30,Shipped,10330,6967.71,Bank Transfer
200193,2024-08-31,2024-09-07,Delivered,10546,1095.68,COD
200194,2024-05-21,2024-05-27,Disputed,10668,6946.5,COD
200195,2024-01-14,2024-01-22,Delivered,10355,4143.66,COD
200196,2024-05-18,2024-05-21,Shipped,10380,2139.13,Invoice
200197,2024-10-18,2024-10-28,Disputed,10646,6273.1,Bank Transfer
200198,2024-09-23,2024-09-29,In Process,10130,1822.37,COD
200199,2024-04-14,2024-04-18,Delivered,10419,3974.52,Credit Card
200200,2024-08-10,2024-08-14,Disputed,10245,868.96,Invoice
200201,2024-03-17,2024-03-20,Cancelled,10577,3807.95,Credit Card
200202,2024-08-13,2024-08-23,Shipped,10960,122.23,COD
200203,2024-02-26,2024-03-02,Shipped,10596,4332.51,Bank Transfer
200204,2024-06-17,2024-06-20,Cancelled,10406,2881.63,COD
200205,2024-02-18,2024-02-23,Shipped,10793,4833.88,Credit Card
200206,2024-07-28,2024-07-30,Delivered,10113,6291.48,Credit Card
200207,2024-04-25,2024-05-02,Shipped,10674,2195.65,Bank Transfer
200208,2024-02-21,2024-02-24,Cancelled,10680,7032.31,COD
200209,2024-09-20,2024-09-22,In Process,10387,4828.97,Bank Transfer
200210,2024-06-10,2024-06-17,Shipped,10124,252.28,Invoice
200211,2024-01-26,2024-02-03,Shipped,10901,5009.46,COD
200212,2024-02-08,2024-02-15,Disputed,10128,5107.64,Bank Transfer
200213,2024-03-07,2024-03-12,Cancelled,10033,1168.77,Bank Transfer
200214,2024-08-12,2024-08-18,Disputed,10554,6160.32,Credit Card
200215,2024-07-05,2024-07-13,Disputed,10054,2597.6,Invoice
200216,2024-10-17,2024-10-25,Delivered,10495,3291.08,COD
200217,2024-03-25,2024-03-30,Disputed,10379,1277.36,Bank Transfer
200218,2024-05-18,2024-05-26,In Process,10167,7218.92,Invoice
200219,2024-10-11,2024-10-17,Disputed,10500,6894.0,COD
200220,2024-03-02,2024-03-08,In Process,10587,2129.62,Bank Transfer
200221,2024-09-27,2024-10-01,Delivered,10173,2311.22,Invoice
200222,2024-03-15,2024-03-22,Disputed,10932,1975.93,COD
200223,2024-07-04,2024-07-06,Shipped,10011,4237.05,COD
200224,2024-10-04,2024-10-09,Shipped,10773,1422.02,Bank Transfer
200225,2024-06-14,2024-06-16,Disputed,10633,6357.28,Bank Transfer
200226,2024-01-05,2024-01-08,Delivered,10076,5198.47,Credit Card
200227,2024-03-29,2024-04-03,Disputed,10114,5697.9,Credit Card
200228,2024-10-16,2024-10-26,Delivered,10976,5678.47,Bank Transfer
200229,2024-08-25,2024-08-29,Disputed,10788,1341.4,COD
200230,2024-01-23,2024-01-25,In Process,10534,3320.26,Credit Card
200231,2024-08-06,2024-08-14,In Process,10654,1926.03,Bank Transfer
200232,2024-07-01,2024-07-07,Cancelled,10243,5385.33,Invoice
200233,2024-06-03,2024-06-07,Shipped,10133,3035.56,Bank Transfer
200234,2024-01-05,2024-01-12,In Process,10335,6890.05,Bank Transfer
200235,2024-08-15,2024-08-18,Cancelled,10104,2909.73,Bank Transfer
200236,2024-10-16,2024-10-20,Disputed,10441,3564.72,COD
200237,2024-06-15,2024-06-24,Cancelled,10505,3055.18,Bank Transfer
200238,2024-07-21,2024-07-30,Delivered,10083,5538.74,
200239,2024-06-30,2024-07-05,Shipped,10681,5688.9,Invoice
200240,2024-01-19,2024-01-23,Shipped,10790,3028.01,Bank Transfer
200241,2024-05-26,2024-05-30,Cancelled,10906,1761.35,Bank Transfer
200242,2024-04-02,2024-04-12,Delivered,10229,6532.62,Bank Transfer
200243,2024-06-06,2024-06-08,Cancelled,10198,2806.19,COD
200244,2024-01-31,2024-02-08,Shipped,10058,6563.74,Invoice
200245,2024-01-24,2024-02-02,Shipped,10133,674.99,Invoice
200246,2024-09-07,2024-09-10,In Process,10457,7438.9,Invoice
200247,2024-10-20,2024-10-24,Disputed,10765,3449.93,COD
200248,2024-01-05,2024-01-12,Cancelled,10585,5971.22,Bank Transfer
200249,2024-05-27,2024-06-05,Delivered,10354,1375.79,COD
200250,2024-09-16,2024-09-19,In Process,10988,1048.71,COD
200251,2024-10-02,2024-10-10,Disputed,10934,4168.52,Bank Transfer
200252,2024-05-06,2024-05-11,Disputed,10940,2451.21,Bank Transfer
200253,2024-07-14,2024-07-22,Cancelled,10872,5056.26,Bank Transfer
200254,2024-08-08,2024-08-12,Shipped,10440,2544.54,Credit Card
200255,2024-03-09,2024-03-11,Disputed,10148,2141.13,Bank Transfer
200256,2024-03-05,2024-03-12,Delivered,10214,4195.45,Credit Card
200257,2024-07-29,2024-08-03,Shipped,10984,906.81,COD
200258,2024-07-14,2024-07-23,In Process,10526,3093.84,Credit Card
200259,2024-01-01,2024-01-11,Disputed,10037,4229.35,Invoice
200260,2024-08-09,2024-08-17,Shipped,10273,1976.57,Credit Card
200261,2024-10-03,2024-10-10,In Process,10867,3102.04,Bank Transfer
200262,2024-07-20,2024-07-28,Disputed,10589,3135.63,Bank Transfer
200263,2024-10-27,2024-10-29,Disputed,10436,5783.31,Bank Transfer
200264,2024-05-12,2024-05-15,Disputed,10678,342.03,Credit Card
200265,2024-03-20,2024-03-30,In Process,10001,5011.49,Bank Transfer
200266,2024-05-07,2024-05-09,In Process,10765,7486.2,Bank Transfer
200267,2024-05-09,2024-05-11,Cancelled,10792,5626.48,Credit Card
200268,2024-06-17,2024-06-23,In Process,10900,862.8,Bank Transfer
200269,2024-02-19,2024-02-28,Delivered,10884,1332.59,Invoice
200270,2024-09-17,2024-09-26,Delivered,10107,167.0,Invoice
200271,2024-02-25,2024-03-01,Shipped,10453,2927.61,COD
200272,2024-03-13,2024-03-16,Disputed,10600,769.07,Bank Transfer
200273,2024-08-09,2024-08-18,Shipped,10384,6930.9,Credit Card
200274,2024-10-16,2024-10-25,Cancelled,10537,3256.36,Bank Transfer
200275,2024-03-14,2024-03-17,Delivered,10879,5606.86,Bank Transfer
200276,2024-07-14,2024-07-19,Shipped,10717,5063.01,Bank Transfer
200277,2024-10-18,2024-10-27,Delivered,10518,2982.19,Bank Transfer
200278,2024-05-26,2024-05-29,In Process,10549,4466.51,COD
200279,2024-05-22,2024-05-27,Cancelled,10274,1187.65,COD
200280,2024-09-14,2024-09-19,Shipped,10345,4150.19,Credit Card
200281,2024-10-11,2024-10-21,Delivered,10683,5838.04,Credit Card
200282,2024-03-09,2024-03-18,Disputed,10712,3479.65,Bank Transfer
200283,2024-01-28,2024-02-03,Shipped,10396,6553.42,Bank Transfer
200284,2024-01-09,2024-01-13,Delivered,10921,1982.91,Credit Card
200285,2024-04-02,2024-04-11,In Process,10218,6293.84,Bank Transfer
200286,2024-02-17,2024-02-19,In Process,10148,4893.97,COD
200287,2024-02-17,2024-02-24,Cancelled,10953,3751.03,COD
200288,2024-01-01,2024-01-04,Disputed,10070,5397.11,COD
200289,2024-03-21,2024-03-30,Cancelled,10008,6147.55,Credit Card
200290,2024-01-19,2024-01-22,Delivered,10462,7492.78,COD
200291,2024-09-25,2024-10-03,In Process,10987,7258.57,Invoice
200292,2024-02-14,2024-02-17,Disputed,10260,157.17,Credit Card
200293,2024-02-09,2024-02-19,Shipped,10849,1119.97,Credit Card
200294,2024-06-12,2024-06-14,Disputed,10789,1794.05,Bank Transfer
200295,2024-03-05,2024-03-08,Shipped,10866,6671.55,Bank Transfer
200296,2024-02-02,2024-02-12,Delivered,10279,5699.16,COD
200297,2024-04-13,2024-04-17,In Process,10788,6091.79,Invoice
200298,2024-03-07,2024-03-11,In Process,10470,4439.72,Bank Transfer
200299,2024-06-20,2024-06-29,Cancelled,10369,2552.48,Invoice
200300,2024-01-12,2024-01-18,In Process,10179,4241.34,Invoice
200301,2024-06-14,2024-06-18,Disputed,10609,2812.56,Invoice
200302,2024-03-20,2024-03-24,Disputed,10200,7075.67,Credit Card
200303,2024-07-06,2024-07-14,In Process,10477,1726.5,COD
200304,2024-10-27,2024-11-04,Shipped,10309,3699.44,Bank Transfer
200305,2024-05-20,2024-05-29,Disputed,10132,3616.12,Invoice
200306,2024-09-04,2024-09-12,Delivered,10464,3483.68,Bank Transfer
200307,2024-09-28,2024-10-05,In Process,10003,6231.78,Invoice
200308,2024-08-21,2024-08-30,Delivered,10594,5462.49,COD
200309,2024-03-13,2024-03-16,Delivered,10025,5729.81,Bank Transfer
200310,2024-03-29,2024-04-02,In Process,10042,1032.15,Bank Transfer
200311,2024-01-09,2024-01-14,Delivered,10623,3931.68,Bank Transfer
200312,2024-02-03,2024-02-09,Disputed,10108,2794.71,Bank Transfer
200313,2024-04-10,2024-04-18,Cancelled,10807,2831.79,Bank Transfer
200314,2024-06-03,2024-06-07,Shipped,10949,5298.81,COD
200315,2024-08-24,2024-08-31,Shipped,10610,3272.53,Bank Transfer
200316,2024-08-24,2024-09-03,Cancelled,10180,6686.95,COD
200317,2024-09-24,2024-09-26,Disputed,10655,4177.69,Bank Transfer
200318,2024-09-14,2024-09-17,Delivered,10572,1869.36,Bank Transfer
200319,2024-10-17,2024-10-23,Disputed,10030,5696.0,Bank Transfer
200320,2024-06-10,2024-06-17,Disputed,10211,4248.29,COD
200321,2024-03-09,2024-03-12,Disputed,10070,2090.8,Invoice
200322,2024-05-15,2024-05-20,Shipped,10752,406.75,COD
200323,2024-04-27,2024-04-30,In Process,10185,333.68,COD
200324,2024-08-29,2024-09-06,In Process,10267,2098.1,Invoice
200325,2024-04-27,2024-04-29,In Process,10310,3018.49,COD
200326,2024-02-10,2024-02-18,Shipped,10573,5940.98,Invoice
200327,2024-09-23,2024-10-03,Shipped,10181,3891.42,COD
200328,2024-10-08,2024-10-16,Disputed,10177,1291.43,Credit Card
200329,2024-05-04,2024-05-13,Cancelled,10864,6827.41,
200330,2024-08-24,2024-08-29,Shipped,10490,6260.77,Invoice
200331,2024-10-22,2024-10-26,In Process,10268,2711.32,COD
200332,2024-02-09,2024-02-18,Shipped,10057,7173.13,Bank Transfer
200333,2024-09-01,2024-09-08,Disputed,10719,891.33,Credit Card
200334,2024-01-31,2024-02-02,Shipped,10659,2621.49,COD
200335,2024-01-15,2024-01-22,In Process,10643,6539.94,Bank Transfer
200336,2024-06-27,2024-07-06,Cancelled,10792,6197.29,Credit Card
200337,2024-02-17,2024-02-27,Cancelled,10586,3684.73,Invoice
200338,2024-07-16,2024-07-22,Disputed,10737,5461.34,COD
200339,2024-05-27,2024-06-06,Shipped,10324,71.86,Invoice
200340,2024-06-14,2024-06-16,In Process,10896,3323.32,Credit Card
200341,2024-08-07,2024-08-12,In Process,10645,1428.52,Invoice
200342,2024-01-01,2024-01-04,Cancelled,10463,3572.52,Bank Transfer
200343,2024-10-11,2024-10-14,Shipped,10011,3756.96,COD
200344,2024-02-13,2024-02-18,Cancelled,10230,6910.32,COD
200345,2024-02-20,2024-02-26,Shipped,10507,4317.75,Credit Card
200346,2024-04-03,2024-04-05,Cancelled,10650,7249.91,COD
200347,2024-08-19,2024-08-22,Shipped,10164,3200.43,Credit Card
200348,2024-10-22,2024-11-01,Delivered,10806,4779.89,COD
200349,2024-10-26,2024-11-01,Disputed,10110,6885.55,Bank Transfer
200350,2024-06-19,2024-06-29,In Process,10028,4352.72,Invoice
200351,2024-05-22,2024-05-27,Disputed,10119,3581.3,COD
200352,2024-02-04,2024-02-14,Disputed,10636,6648.72,Invoice
200353,2024-06-18,2024-06-20,In Process,10518,2210.77,Bank Transfer
200354,2024-04-06,2024-04-15,Disputed,10971,1848.78,Credit Card
200355,2024-02-08,2024-02-18,In Process,10013,3888.1,COD
200356,2024-03-14,2024-03-22,Shipped,10886,1147.61,Credit Card
200357,2024-10-15,2024-10-18,In Process,10596,4594.88,Invoice
200358,2024-04-29,2024-05-02,Delivered,10489,1819.76,Invoice
200359,2024-05-28,2024-06-04,Delivered,10282,2932.03,Invoice
200360,2024-05-12,2024-05-15,Cancelled,10115,6747.79,Bank Transfer
200361,2024-06-20,2024-06-27,In Process,10238,4692.46,Bank Transfer
200362,2024-02-15,2024-02-21,Disputed,10644,3621.59,Credit Card
200363,2024-02-25,2024-02-29,Delivered,10191,4011.44,Credit Card
200364,2024-05-16,2024-05-24,Shipped,10672,2231.12,Invoice
200365,2024-05-26,2024-05-30,Disputed,10842,5963.78,COD
200366,2024-08-27,2024-08-30,Delivered,10242,6274.11,Bank Transfer
200367,2024-04-03,2024-04-11,Disputed,10470,4791.26,Bank Transfer
200368,2024-09-11,2024-09-21,Cancelled,10911,1916.46,COD
200369,2024-10-18,2024-10-22,Shipped,10652,5065.52,COD
200370,2024-01-23,2024-02-01,In Process,10335,5193.71,COD
200371,2024-01-18,2024-01-23,Disputed,10318,2312.09,COD
200372,2024-07-18,2024-07-26,Cancelled,10543,3394.8,Invoice
200373,2024-07-18,2024-07-21,In Process,10112,2774.94,Credit Card
200374,2024-02-14,2024-02-24,Cancelled,10684,6960.09,COD
200375,2024-07-16,2024-07-18,In Process,10563,4868.4,Invoice
200376,2024-06-04,2024-06-11,Cancelled,10617,6219.09,COD
200377,2024-06-16,2024-06-23,Disputed,10480,6883.54,Invoice
200378,2024-01-29,2024-02-06,Shipped,10239,1060.34,Bank Transfer
200379,2024-07-06,2024-07-10,Disputed,10828,5754.44,Invoice
200380,2024-08-10,2024-08-19,Disputed,10213,7450.07,Credit Card
200381,2024-02-22,2024-03-01,In Process,10971,7051.47,COD
200382,2024-10-08,2024-10-17,In Process,10750,7272.45,COD
200383,2024-10-06,2024-10-16,Disputed,10648,456.14,Credit Card
200384,2024-03-02,2024-03-09,Shipped,10726,2433.13,Invoice
200385,2024-06-18,2024-06-23,Delivered,10799,3812.17,Credit Card
200386,2024-01-03,2024-01-10,Delivered,10819,409.95,Invoice
200387,2024-04-05,2024-04-14,Disputed,10725,744.15,Bank Transfer
200388,2024-08-14,2024-08-17,Delivered,10321,1414.77,Bank Transfer
200389,2024-08-27,2024-09-06,Disputed,10421,3652.46,Bank Transfer
200390,2024-08-21,2024-08-30,Shipped,10343,2810.44,Credit Card
200391,2024-01-03,2024-01-11,Disputed,10047,7284.32,Credit Card
200392,2024-03-19,2024-03-29,Delivered,10260,4137.67,COD
200393,2024-10-10,2024-10-16,Cancelled,10576,6129.49,COD
200394,2024-07-16,2024-07-26,Delivered,10004,289.39,COD
