ip,timestamp,method,endpoint,status,response_time_ms,parsed_timestamp
192.168.1.2,05/Nov/2025:11:10:35 +0000,PUT,/images/logo.png,503,920,2025-11-05 12:10:35
192.168.1.19,12/Nov/2025:01:06:43 +0000,PUT,/products,304,1151,2025-11-12 02:06:43
192.168.1.15,02/Nov/2025:21:15:20 +0000,GET,/home,200,652,2025-11-02 22:15:20
192.168.1.5,19/Nov/2025:17:11:50 +0000,POST,/products/123,304,1927,2025-11-19 18:11:50
192.168.1.16,01/Nov/2025:05:48:19 +0000,DELETE,/images/logo.png,404,723,2025-11-01 06:48:19
192.168.1.12,08/Nov/2025:23:15:10 +0000,DELETE,/products/123,503,525,2025-11-09 00:15:10
192.168.1.17,11/Nov/2025:14:56:08 +0000,POST,/images/logo.png,304,1519,2025-11-11 15:56:08
192.168.1.18,03/Nov/2025:16:27:55 +0000,GET,/search?q=spark,200,347,2025-11-03 17:27:55
192.168.1.2,09/Nov/2025:12:11:03 +0000,PUT,/home,500,1365,2025-11-09 13:11:03
192.168.1.3,11/Nov/2025:01:15:54 +0000,POST,/home,200,1644,2025-11-11 02:15:54
192.168.1.16,14/Nov/2025:05:04:55 +0000,DELETE,/cart,500,360,2025-11-14 06:04:55
192.168.1.1,09/Nov/2025:03:23:21 +0000,GET,/cart,200,712,2025-11-09 04:23:21
192.168.1.13,20/Nov/2025:06:30:37 +0000,GET,/search?q=spark,200,793,2025-11-20 07:30:37
192.168.1.1,05/Nov/2025:18:54:39 +0000,GET,/api/data,304,1016,2025-11-05 19:54:39
192.168.1.14,19/Nov/2025:07:49:10 +0000,POST,/checkout,304,322,2025-11-19 08:49:10
192.168.1.16,09/Nov/2025:21:48:47 +0000,DELETE,/api/data,200,609,2025-11-09 22:48:47
192.168.1.1,08/Nov/2025:04:37:49 +0000,PUT,/checkout,503,1348,2025-11-08 05:37:49
192.168.1.17,14/Nov/2025:12:52:20 +0000,GET,/api/data,200,231,2025-11-14 13:52:20
192.168.1.16,05/Nov/2025:07:01:44 +0000,PUT,/cart,500,1018,2025-11-05 08:01:44
192.168.1.14,18/Nov/2025:02:30:57 +0000,PUT,/cart,200,453,2025-11-18 03:30:57
192.168.1.3,15/Nov/2025:10:37:50 +0000,POST,/search?q=spark,200,570,2025-11-15 11:37:50
192.168.1.16,04/Nov/2025:04:41:53 +0000,POST,/home,404,1746,2025-11-04 05:41:53
192.168.1.19,02/Nov/2025:16:13:36 +0000,GET,/checkout,200,523,2025-11-02 17:13:36
192.168.1.2,13/Nov/2025:00:32:25 +0000,POST,/products,200,1957,2025-11-13 01:32:25
192.168.1.6,11/Nov/2025:04:27:19 +0000,PUT,/api/data,304,625,2025-11-11 05:27:19
192.168.1.18,12/Nov/2025:09:32:25 +0000,PUT,/search?q=spark,304,414,2025-11-12 10:32:25
192.168.1.16,10/Nov/2025:13:55:42 +0000,PUT,/api/data,200,315,2025-11-10 14:55:42
192.168.1.19,08/Nov/2025:15:30:00 +0000,DELETE,/products,304,215,2025-11-08 16:30:00
192.168.1.12,11/Nov/2025:05:04:05 +0000,PUT,/products/123,304,1403,2025-11-11 06:04:05
192.168.1.4,10/Nov/2025:14:05:09 +0000,POST,/api/data,304,662,2025-11-10 15:05:09
192.168.1.5,04/Nov/2025:13:05:57 +0000,POST,/products,404,522,2025-11-04 14:05:57
192.168.1.17,20/Nov/2025:11:39:57 +0000,DELETE,/api/data,200,1996,2025-11-20 12:39:57
192.168.1.1,07/Nov/2025:03:01:47 +0000,POST,/cart,200,109,2025-11-07 04:01:47
192.168.1.18,04/Nov/2025:01:38:07 +0000,POST,/error_page,500,1496,2025-11-04 02:38:07
192.168.1.17,09/Nov/2025:08:54:15 +0000,GET,/checkout,503,1866,2025-11-09 09:54:15
192.168.1.19,15/Nov/2025:04:36:18 +0000,DELETE,/products,503,664,2025-11-15 05:36:18
192.168.1.8,11/Nov/2025:14:53:27 +0000,GET,/cart,304,310,2025-11-11 15:53:27
192.168.1.18,19/Nov/2025:14:01:02 +0000,POST,/products,503,13,2025-11-19 15:01:02
192.168.1.6,14/Nov/2025:02:33:19 +0000,GET,/home,500,803,2025-11-14 03:33:19
192.168.1.18,17/Nov/2025:11:04:25 +0000,POST,/cart,503,1815,2025-11-17 12:04:25
192.168.1.7,01/Nov/2025:23:45:07 +0000,GET,/home,200,143,2025-11-02 00:45:07
192.168.1.4,07/Nov/2025:02:53:53 +0000,POST,/error_page,503,1668,2025-11-07 03:53:53
192.168.1.4,15/Nov/2025:07:41:56 +0000,POST,/api/data,503,1784,2025-11-15 08:41:56
192.168.1.4,08/Nov/2025:10:38:33 +0000,DELETE,/home,200,1432,2025-11-08 11:38:33
192.168.1.19,10/Nov/2025:18:45:21 +0000,DELETE,/images/logo.png,304,1073,2025-11-10 19:45:21
192.168.1.6,11/Nov/2025:21:08:47 +0000,PUT,/api/data,200,1425,2025-11-11 22:08:47
192.168.1.16,14/Nov/2025:23:06:32 +0000,GET,/api/data,304,580,2025-11-15 00:06:32
192.168.1.15,15/Nov/2025:08:40:32 +0000,GET,/error_page,500,775,2025-11-15 09:40:32
192.168.1.4,08/Nov/2025:23:11:34 +0000,GET,/api/data,500,1702,2025-11-09 00:11:34
192.168.1.16,15/Nov/2025:09:26:32 +0000,POST,/home,404,1879,2025-11-15 10:26:32
192.168.1.18,20/Nov/2025:13:32:29 +0000,DELETE,/api/data,200,1937,2025-11-20 14:32:29
192.168.1.11,01/Nov/2025:20:04:15 +0000,POST,/products,200,681,2025-11-01 21:04:15
192.168.1.11,11/Nov/2025:06:27:46 +0000,POST,/cart,200,504,2025-11-11 07:27:46
192.168.1.10,12/Nov/2025:23:40:41 +0000,DELETE,/cart,503,1689,2025-11-13 00:40:41
192.168.1.12,12/Nov/2025:17:09:55 +0000,POST,/checkout,200,1468,2025-11-12 18:09:55
192.168.1.11,03/Nov/2025:17:09:14 +0000,GET,/api/data,200,743,2025-11-03 18:09:14
192.168.1.2,06/Nov/2025:19:41:58 +0000,DELETE,/cart,200,197,2025-11-06 20:41:58
192.168.1.6,17/Nov/2025:08:51:53 +0000,POST,/images/logo.png,200,37,2025-11-17 09:51:53
192.168.1.7,04/Nov/2025:03:36:38 +0000,PUT,/search?q=spark,304,141,2025-11-04 04:36:38
192.168.1.8,06/Nov/2025:13:25:17 +0000,POST,/images/logo.png,500,789,2025-11-06 14:25:17
192.168.1.4,05/Nov/2025:19:21:24 +0000,POST,/images/logo.png,404,1253,2025-11-05 20:21:24
192.168.1.3,10/Nov/2025:05:42:25 +0000,PUT,/search?q=spark,404,322,2025-11-10 06:42:25
192.168.1.15,16/Nov/2025:12:34:44 +0000,POST,/products,500,728,2025-11-16 13:34:44
192.168.1.16,10/Nov/2025:10:53:05 +0000,GET,/checkout,200,408,2025-11-10 11:53:05
192.168.1.17,12/Nov/2025:04:43:59 +0000,PUT,/products/123,200,917,2025-11-12 05:43:59
192.168.1.12,09/Nov/2025:06:31:52 +0000,GET,/products,200,423,2025-11-09 07:31:52
192.168.1.14,01/Nov/2025:01:02:38 +0000,GET,/products/123,304,1530,2025-11-01 02:02:38
192.168.1.16,17/Nov/2025:08:44:48 +0000,DELETE,/images/logo.png,200,721,2025-11-17 09:44:48
192.168.1.4,12/Nov/2025:22:57:21 +0000,DELETE,/search?q=spark,200,1092,2025-11-12 23:57:21
192.168.1.13,03/Nov/2025:08:27:58 +0000,DELETE,/api/data,200,73,2025-11-03 09:27:58
192.168.1.4,15/Nov/2025:09:53:44 +0000,POST,/error_page,500,1388,2025-11-15 10:53:44
192.168.1.5,15/Nov/2025:22:10:31 +0000,DELETE,/error_page,500,1837,2025-11-15 23:10:31
192.168.1.1,14/Nov/2025:03:45:36 +0000,PUT,/api/data,503,1049,2025-11-14 04:45:36
192.168.1.8,09/Nov/2025:16:21:49 +0000,DELETE,/error_page,200,1426,2025-11-09 17:21:49
192.168.1.3,03/Nov/2025:10:46:45 +0000,PUT,/images/logo.png,404,53,2025-11-03 11:46:45
192.168.1.11,20/Nov/2025:07:47:00 +0000,DELETE,/checkout,500,1774,2025-11-20 08:47:00
192.168.1.8,04/Nov/2025:14:53:05 +0000,DELETE,/products/123,200,829,2025-11-04 15:53:05
192.168.1.9,13/Nov/2025:09:16:53 +0000,POST,/error_page,200,753,2025-11-13 10:16:53
192.168.1.5,20/Nov/2025:13:53:40 +0000,PUT,/images/logo.png,200,1667,2025-11-20 14:53:40
192.168.1.3,15/Nov/2025:15:37:34 +0000,POST,/error_page,500,1773,2025-11-15 16:37:34
192.168.1.7,13/Nov/2025:02:44:13 +0000,GET,/error_page,200,391,2025-11-13 03:44:13
192.168.1.13,14/Nov/2025:00:58:02 +0000,DELETE,/images/logo.png,503,1008,2025-11-14 01:58:02
192.168.1.3,05/Nov/2025:14:18:14 +0000,PUT,/home,404,309,2025-11-05 15:18:14
192.168.1.1,05/Nov/2025:01:47:39 +0000,GET,/api/data,404,444,2025-11-05 02:47:39
192.168.1.5,15/Nov/2025:02:27:29 +0000,POST,/checkout,200,341,2025-11-15 03:27:29
192.168.1.3,06/Nov/2025:18:27:58 +0000,GET,/home,404,1230,2025-11-06 19:27:58
192.168.1.11,02/Nov/2025:15:08:00 +0000,PUT,/products/123,200,194,2025-11-02 16:08:00
192.168.1.13,02/Nov/2025:07:06:08 +0000,POST,/cart,200,347,2025-11-02 08:06:08
192.168.1.12,08/Nov/2025:15:55:31 +0000,DELETE,/home,200,190,2025-11-08 16:55:31
192.168.1.2,10/Nov/2025:07:45:17 +0000,GET,/api/data,304,1662,2025-11-10 08:45:17
192.168.1.14,03/Nov/2025:00:13:56 +0000,DELETE,/cart,200,230,2025-11-03 01:13:56
192.168.1.5,18/Nov/2025:18:03:06 +0000,GET,/api/data,304,1750,2025-11-18 19:03:06
192.168.1.6,06/Nov/2025:11:37:19 +0000,GET,/error_page,500,103,2025-11-06 12:37:19
192.168.1.8,01/Nov/2025:12:31:51 +0000,DELETE,/cart,500,1663,2025-11-01 13:31:51
192.168.1.8,02/Nov/2025:07:39:49 +0000,DELETE,/images/logo.png,404,1749,2025-11-02 08:39:49
192.168.1.11,13/Nov/2025:17:00:57 +0000,GET,/products,503,936,2025-11-13 18:00:57
192.168.1.16,16/Nov/2025:08:59:09 +0000,GET,/api/data,304,1119,2025-11-16 09:59:09
192.168.1.7,16/Nov/2025:12:30:18 +0000,GET,/images/logo.png,200,539,2025-11-16 13:30:18
192.168.1.1,13/Nov/2025:03:35:24 +0000,PUT,/images/logo.png,200,226,2025-11-13 04:35:24
192.168.1.18,07/Nov/2025:05:36:18 +0000,GET,/images/logo.png,200,950,2025-11-07 06:36:18
192.168.1.5,17/Nov/2025:19:35:14 +0000,GET,/products/123,200,919,2025-11-17 20:35:14
192.168.1.16,18/Nov/2025:02:31:43 +0000,DELETE,/cart,500,840,2025-11-18 03:31:43
192.168.1.7,20/Nov/2025:03:25:12 +0000,GET,/images/logo.png,304,1945,2025-11-20 04:25:12
192.168.1.16,19/Nov/2025:18:53:26 +0000,DELETE,/api/data,404,1689,2025-11-19 19:53:26
192.168.1.8,18/Nov/2025:02:08:54 +0000,PUT,/images/logo.png,304,650,2025-11-18 03:08:54
192.168.1.17,10/Nov/2025:15:01:42 +0000,PUT,/api/data,503,1822,2025-11-10 16:01:42
192.168.1.9,12/Nov/2025:14:10:19 +0000,PUT,/products,404,1426,2025-11-12 15:10:19
192.168.1.19,09/Nov/2025:03:55:14 +0000,GET,/home,404,820,2025-11-09 04:55:14
192.168.1.10,14/Nov/2025:09:30:04 +0000,POST,/api/data,500,1457,2025-11-14 10:30:04
192.168.1.10,02/Nov/2025:12:49:24 +0000,GET,/images/logo.png,500,721,2025-11-02 13:49:24
192.168.1.1,17/Nov/2025:17:05:17 +0000,GET,/search?q=spark,200,1392,2025-11-17 18:05:17
192.168.1.3,03/Nov/2025:07:13:53 +0000,GET,/error_page,404,874,2025-11-03 08:13:53
192.168.1.15,14/Nov/2025:17:38:55 +0000,GET,/error_page,500,279,2025-11-14 18:38:55
192.168.1.6,19/Nov/2025:18:14:34 +0000,DELETE,/cart,200,1349,2025-11-19 19:14:34
192.168.1.15,15/Nov/2025:11:53:40 +0000,DELETE,/api/data,200,935,2025-11-15 12:53:40
192.168.1.19,10/Nov/2025:12:49:38 +0000,PUT,/products,500,1442,2025-11-10 13:49:38
192.168.1.7,04/Nov/2025:17:46:49 +0000,POST,/home,304,989,2025-11-04 18:46:49
192.168.1.15,14/Nov/2025:01:26:07 +0000,PUT,/products,200,1208,2025-11-14 02:26:07
192.168.1.14,05/Nov/2025:12:18:23 +0000,POST,/products,503,1013,2025-11-05 13:18:23
192.168.1.8,10/Nov/2025:13:32:18 +0000,POST,/cart,304,816,2025-11-10 14:32:18
192.168.1.9,15/Nov/2025:06:57:08 +0000,PUT,/home,200,1939,2025-11-15 07:57:08
192.168.1.19,10/Nov/2025:14:29:07 +0000,GET,/products,200,1197,2025-11-10 15:29:07
192.168.1.2,01/Nov/2025:08:59:06 +0000,GET,/images/logo.png,200,1503,2025-11-01 09:59:06
192.168.1.14,02/Nov/2025:14:46:28 +0000,GET,/api/data,304,312,2025-11-02 15:46:28
192.168.1.4,11/Nov/2025:08:57:39 +0000,GET,/checkout,304,1600,2025-11-11 09:57:39
192.168.1.16,07/Nov/2025:02:06:39 +0000,DELETE,/checkout,200,369,2025-11-07 03:06:39
192.168.1.1,14/Nov/2025:03:08:28 +0000,DELETE,/products/123,200,461,2025-11-14 04:08:28
192.168.1.7,05/Nov/2025:04:05:56 +0000,PUT,/products/123,503,28,2025-11-05 05:05:56
192.168.1.11,06/Nov/2025:17:51:41 +0000,DELETE,/products/123,304,540,2025-11-06 18:51:41
192.168.1.19,04/Nov/2025:06:54:27 +0000,PUT,/images/logo.png,500,1558,2025-11-04 07:54:27
192.168.1.16,08/Nov/2025:09:35:21 +0000,POST,/home,200,868,2025-11-08 10:35:21
192.168.1.2,09/Nov/2025:09:40:23 +0000,PUT,/checkout,200,1878,2025-11-09 10:40:23
192.168.1.19,05/Nov/2025:12:19:40 +0000,GET,/products/123,304,814,2025-11-05 13:19:40
192.168.1.11,02/Nov/2025:21:47:04 +0000,DELETE,/products/123,200,1025,2025-11-02 22:47:04
192.168.1.14,10/Nov/2025:15:09:00 +0000,DELETE,/products,200,377,2025-11-10 16:09:00
192.168.1.13,15/Nov/2025:04:27:52 +0000,PUT,/cart,404,1520,2025-11-15 05:27:52
192.168.1.15,09/Nov/2025:15:41:51 +0000,PUT,/products/123,304,792,2025-11-09 16:41:51
192.168.1.6,03/Nov/2025:06:24:38 +0000,DELETE,/cart,200,415,2025-11-03 07:24:38
192.168.1.12,19/Nov/2025:21:51:30 +0000,GET,/checkout,500,146,2025-11-19 22:51:30
192.168.1.17,01/Nov/2025:11:21:10 +0000,PUT,/images/logo.png,404,1828,2025-11-01 12:21:10
192.168.1.2,02/Nov/2025:07:11:31 +0000,PUT,/products/123,500,1744,2025-11-02 08:11:31
192.168.1.19,08/Nov/2025:17:59:07 +0000,GET,/search?q=spark,304,946,2025-11-08 18:59:07
192.168.1.3,08/Nov/2025:17:28:55 +0000,GET,/products,404,1124,2025-11-08 18:28:55
192.168.1.16,14/Nov/2025:00:04:47 +0000,DELETE,/products,200,146,2025-11-14 01:04:47
192.168.1.8,09/Nov/2025:20:43:25 +0000,DELETE,/products,200,1772,2025-11-09 21:43:25
192.168.1.3,18/Nov/2025:10:15:40 +0000,PUT,/home,500,1485,2025-11-18 11:15:40
192.168.1.6,02/Nov/2025:07:28:57 +0000,PUT,/api/data,200,652,2025-11-02 08:28:57
192.168.1.4,10/Nov/2025:17:03:22 +0000,DELETE,/checkout,500,1004,2025-11-10 18:03:22
192.168.1.13,11/Nov/2025:17:52:19 +0000,PUT,/checkout,200,1608,2025-11-11 18:52:19
192.168.1.17,02/Nov/2025:19:13:15 +0000,POST,/products/123,200,743,2025-11-02 20:13:15
192.168.1.11,18/Nov/2025:09:15:10 +0000,POST,/products,503,735,2025-11-18 10:15:10
192.168.1.9,05/Nov/2025:14:33:06 +0000,GET,/products,200,750,2025-11-05 15:33:06
192.168.1.18,01/Nov/2025:18:09:50 +0000,PUT,/images/logo.png,200,451,2025-11-01 19:09:50
192.168.1.10,09/Nov/2025:22:04:26 +0000,PUT,/images/logo.png,200,727,2025-11-09 23:04:26
192.168.1.11,05/Nov/2025:17:02:39 +0000,PUT,/search?q=spark,304,261,2025-11-05 18:02:39
192.168.1.3,11/Nov/2025:16:00:40 +0000,DELETE,/checkout,500,1859,2025-11-11 17:00:40
192.168.1.2,03/Nov/2025:21:47:35 +0000,GET,/api/data,200,463,2025-11-03 22:47:35
192.168.1.16,18/Nov/2025:21:16:58 +0000,PUT,/checkout,503,1300,2025-11-18 22:16:58
192.168.1.11,07/Nov/2025:20:44:09 +0000,POST,/home,200,66,2025-11-07 21:44:09
192.168.1.3,14/Nov/2025:03:55:04 +0000,POST,/home,200,1329,2025-11-14 04:55:04
192.168.1.7,12/Nov/2025:03:44:35 +0000,POST,/images/logo.png,200,442,2025-11-12 04:44:35
192.168.1.12,20/Nov/2025:06:46:51 +0000,PUT,/products,200,1017,2025-11-20 07:46:51
192.168.1.2,19/Nov/2025:13:40:14 +0000,PUT,/cart,503,187,2025-11-19 14:40:14
192.168.1.13,16/Nov/2025:23:06:51 +0000,DELETE,/products/123,404,321,2025-11-17 00:06:51
192.168.1.13,01/Nov/2025:07:28:32 +0000,DELETE,/products/123,304,886,2025-11-01 08:28:32
192.168.1.11,20/Nov/2025:20:07:10 +0000,PUT,/products/123,404,1546,2025-11-20 21:07:10
192.168.1.5,17/Nov/2025:12:27:12 +0000,DELETE,/products,200,1950,2025-11-17 13:27:12
192.168.1.2,17/Nov/2025:10:15:41 +0000,DELETE,/search?q=spark,200,720,2025-11-17 11:15:41
192.168.1.7,04/Nov/2025:03:05:42 +0000,GET,/error_page,404,1480,2025-11-04 04:05:42
192.168.1.16,11/Nov/2025:02:40:23 +0000,DELETE,/search?q=spark,404,1933,2025-11-11 03:40:23
192.168.1.4,07/Nov/2025:09:13:44 +0000,GET,/error_page,200,1689,2025-11-07 10:13:44
192.168.1.5,01/Nov/2025:00:23:28 +0000,DELETE,/api/data,503,1245,2025-11-01 01:23:28
192.168.1.5,20/Nov/2025:05:57:27 +0000,PUT,/error_page,404,251,2025-11-20 06:57:27
192.168.1.6,02/Nov/2025:17:44:14 +0000,DELETE,/search?q=spark,200,96,2025-11-02 18:44:14
192.168.1.18,06/Nov/2025:18:12:22 +0000,POST,/home,503,903,2025-11-06 19:12:22
192.168.1.19,16/Nov/2025:20:50:28 +0000,DELETE,/products,503,714,2025-11-16 21:50:28
192.168.1.1,10/Nov/2025:01:04:28 +0000,DELETE,/api/data,200,1097,2025-11-10 02:04:28
192.168.1.8,18/Nov/2025:02:09:20 +0000,DELETE,/home,200,1952,2025-11-18 03:09:20
192.168.1.19,04/Nov/2025:23:24:07 +0000,POST,/cart,304,50,2025-11-05 00:24:07
192.168.1.5,15/Nov/2025:13:42:49 +0000,GET,/home,404,1392,2025-11-15 14:42:49
192.168.1.11,01/Nov/2025:12:58:21 +0000,PUT,/images/logo.png,200,318,2025-11-01 13:58:21
192.168.1.14,05/Nov/2025:02:40:38 +0000,GET,/products,200,1969,2025-11-05 03:40:38
192.168.1.8,06/Nov/2025:20:30:29 +0000,PUT,/api/data,503,948,2025-11-06 21:30:29
192.168.1.10,18/Nov/2025:23:13:23 +0000,GET,/products/123,500,1414,2025-11-19 00:13:23
192.168.1.12,14/Nov/2025:03:26:25 +0000,PUT,/cart,500,75,2025-11-14 04:26:25
192.168.1.1,10/Nov/2025:20:27:39 +0000,GET,/checkout,200,797,2025-11-10 21:27:39
192.168.1.6,02/Nov/2025:08:36:52 +0000,GET,/api/data,503,1600,2025-11-02 09:36:52
192.168.1.2,10/Nov/2025:15:15:50 +0000,PUT,/checkout,200,569,2025-11-10 16:15:50
192.168.1.14,01/Nov/2025:02:13:47 +0000,POST,/images/logo.png,304,1174,2025-11-01 03:13:47
192.168.1.2,02/Nov/2025:11:12:15 +0000,PUT,/home,304,1310,2025-11-02 12:12:15
192.168.1.5,15/Nov/2025:05:08:19 +0000,GET,/home,200,1721,2025-11-15 06:08:19
192.168.1.6,04/Nov/2025:01:19:33 +0000,POST,/search?q=spark,200,560,2025-11-04 02:19:33
192.168.1.8,08/Nov/2025:05:53:38 +0000,GET,/images/logo.png,200,1154,2025-11-08 06:53:38
192.168.1.2,08/Nov/2025:01:43:40 +0000,PUT,/error_page,500,1205,2025-11-08 02:43:40
192.168.1.5,17/Nov/2025:20:35:39 +0000,GET,/products,500,223,2025-11-17 21:35:39
192.168.1.9,08/Nov/2025:03:31:43 +0000,GET,/images/logo.png,503,1873,2025-11-08 04:31:43
192.168.1.18,18/Nov/2025:16:28:32 +0000,DELETE,/api/data,404,900,2025-11-18 17:28:32
192.168.1.7,01/Nov/2025:16:29:19 +0000,POST,/error_page,200,307,2025-11-01 17:29:19
192.168.1.6,16/Nov/2025:04:19:14 +0000,DELETE,/search?q=spark,503,464,2025-11-16 05:19:14
192.168.1.8,06/Nov/2025:00:46:30 +0000,GET,/error_page,304,577,2025-11-06 01:46:30
192.168.1.9,17/Nov/2025:10:07:52 +0000,POST,/images/logo.png,500,1632,2025-11-17 11:07:52
192.168.1.1,19/Nov/2025:18:36:40 +0000,PUT,/search?q=spark,503,1602,2025-11-19 19:36:40
192.168.1.6,05/Nov/2025:16:15:51 +0000,GET,/error_page,304,179,2025-11-05 17:15:51
192.168.1.3,03/Nov/2025:19:37:30 +0000,POST,/error_page,200,443,2025-11-03 20:37:30
192.168.1.12,04/Nov/2025:22:50:39 +0000,PUT,/checkout,304,614,2025-11-04 23:50:39
192.168.1.17,07/Nov/2025:01:21:24 +0000,DELETE,/search?q=spark,200,80,2025-11-07 02:21:24
192.168.1.5,16/Nov/2025:03:04:48 +0000,DELETE,/images/logo.png,200,1410,2025-11-16 04:04:48
192.168.1.17,17/Nov/2025:16:43:47 +0000,GET,/checkout,304,925,2025-11-17 17:43:47
192.168.1.19,01/Nov/2025:14:57:24 +0000,POST,/search?q=spark,200,828,2025-11-01 15:57:24
192.168.1.12,10/Nov/2025:04:57:38 +0000,GET,/products,500,565,2025-11-10 05:57:38
192.168.1.2,11/Nov/2025:06:39:04 +0000,GET,/error_page,200,1943,2025-11-11 07:39:04
192.168.1.16,04/Nov/2025:02:51:47 +0000,DELETE,/checkout,200,1788,2025-11-04 03:51:47
192.168.1.5,20/Nov/2025:01:34:48 +0000,GET,/checkout,304,1355,2025-11-20 02:34:48
192.168.1.18,08/Nov/2025:07:28:27 +0000,GET,/error_page,200,1359,2025-11-08 08:28:27
192.168.1.4,08/Nov/2025:20:11:22 +0000,GET,/products,200,526,2025-11-08 21:11:22
192.168.1.15,02/Nov/2025:05:55:00 +0000,POST,/api/data,304,1241,2025-11-02 06:55:00
192.168.1.2,02/Nov/2025:22:56:08 +0000,POST,/products,304,836,2025-11-02 23:56:08
192.168.1.15,18/Nov/2025:15:05:39 +0000,POST,/products,200,895,2025-11-18 16:05:39
192.168.1.9,13/Nov/2025:13:12:08 +0000,DELETE,/search?q=spark,200,350,2025-11-13 14:12:08
192.168.1.2,18/Nov/2025:06:46:26 +0000,DELETE,/images/logo.png,503,1984,2025-11-18 07:46:26
192.168.1.7,05/Nov/2025:13:42:57 +0000,GET,/error_page,200,1429,2025-11-05 14:42:57
192.168.1.4,14/Nov/2025:22:51:46 +0000,DELETE,/api/data,200,372,2025-11-14 23:51:46
192.168.1.10,11/Nov/2025:05:03:56 +0000,POST,/checkout,200,437,2025-11-11 06:03:56
192.168.1.6,09/Nov/2025:13:05:47 +0000,DELETE,/products/123,200,410,2025-11-09 14:05:47
192.168.1.14,20/Nov/2025:13:33:27 +0000,GET,/images/logo.png,500,1112,2025-11-20 14:33:27
192.168.1.7,04/Nov/2025:07:59:06 +0000,DELETE,/api/data,304,1947,2025-11-04 08:59:06
192.168.1.10,10/Nov/2025:18:01:36 +0000,GET,/cart,304,288,2025-11-10 19:01:36
192.168.1.12,04/Nov/2025:01:55:15 +0000,DELETE,/images/logo.png,404,884,2025-11-04 02:55:15
192.168.1.10,16/Nov/2025:18:54:48 +0000,DELETE,/api/data,200,1933,2025-11-16 19:54:48
192.168.1.12,07/Nov/2025:21:18:32 +0000,GET,/cart,404,512,2025-11-07 22:18:32
192.168.1.14,13/Nov/2025:07:23:05 +0000,DELETE,/products,200,51,2025-11-13 08:23:05
192.168.1.13,08/Nov/2025:18:42:19 +0000,DELETE,/cart,200,466,2025-11-08 19:42:19
192.168.1.19,18/Nov/2025:07:21:16 +0000,DELETE,/home,304,722,2025-11-18 08:21:16
192.168.1.13,04/Nov/2025:01:39:35 +0000,PUT,/products,500,1412,2025-11-04 02:39:35
192.168.1.15,11/Nov/2025:11:20:47 +0000,GET,/home,304,159,2025-11-11 12:20:47
192.168.1.9,14/Nov/2025:10:57:46 +0000,PUT,/search?q=spark,200,1120,2025-11-14 11:57:46
